F2P_n8_h1 maxCntrVal=700
F2P_n9_h1 maxCntrVal=1404
F2P_n10_h1 maxCntrVal=2812
F2P_n11_h1 maxCntrVal=5628
F2P_n12_h1 maxCntrVal=11260
F2P_n13_h1 maxCntrVal=22524
F2P_n14_h1 maxCntrVal=45052
F2P_n15_h1 maxCntrVal=90108
F2P_n16_h1 maxCntrVal=180220
F2P_n8_h2 maxCntrVal=1488888
F2P_n9_h2 maxCntrVal=2994160
F2P_n10_h2 maxCntrVal=6004704
F2P_n11_h2 maxCntrVal=12025792
F2P_n12_h2 maxCntrVal=24067968
F2P_n13_h2 maxCntrVal=48152320
F2P_n14_h2 maxCntrVal=96321024
F2P_n15_h2 maxCntrVal=192658432
F2P_n16_h2 maxCntrVal=385333248
